group,method,coverage_area_m2,coverage_area_cm2,covered_triangle_count,mesh_vertex_count,mesh_triangle_count,path_source_vertex_count,path_snap_max_mm,probe_width_mm,coverage_retention_percent
2,original,0.010052540061124472,100.52540061124472,34819,17910,35351,528,1.8226782343631325,40.0,100.00000000000001
2,moving_average,0.00894345283113029,89.43452831130291,31193,17910,35351,345,4.761982416080643,40.0,88.96709465219361
2,b_spline,0.009615079114290824,96.15079114290823,33498,17910,35351,415,4.037007218292714,40.0,95.64825462844547
2,geodesic,0.010022786042464371,100.22786042464371,34729,17910,35351,535,1.879073683543384,40.0,99.70401492081423
3,original,0.011006544730146686,110.06544730146686,32057,16635,32887,532,1.5188635120349097,40.0,100.0
3,moving_average,0.009830634436327243,98.30634436327243,28707,16635,32887,363,4.590184969326498,40.0,89.3162629812547
3,b_spline,0.010566403384951415,105.66403384951414,30857,16635,32887,445,2.725564635322827,40.0,96.00109429447251
3,geodesic,0.010908951229508822,109.08951229508821,31802,16635,32887,540,1.5188635120349097,40.0,99.11331391430629
4,original,0.010412290509235032,104.12290509235032,35621,18310,36284,524,3.4636204206999652,40.0,100.0
4,moving_average,0.009434978489934551,94.34978489934551,32407,18310,36284,353,2.953090339022824,40.0,90.61386139357457
4,b_spline,0.010013006261407595,100.13006261407595,34374,18310,36284,416,4.049285760770729,40.0,96.1652602040512
4,geodesic,0.010421194585773664,104.21194585773664,35631,18310,36284,522,3.886921622262143,40.0,100.08551506059818
5,original,0.010370318692245053,103.70318692245053,34396,17662,34876,519,1.2173946114264362,40.0,100.0
5,moving_average,0.009243058229318054,92.43058229318055,30655,17662,34876,348,3.265012440048281,40.0,89.1299342249726
5,b_spline,0.009926987358243183,99.26987358243183,32945,17662,34876,414,2.3993013913346313,40.0,95.72499797587326
5,geodesic,0.010392457926707628,103.92457926707628,34450,17662,34876,528,1.8973662468589232,40.0,100.21348653903115
6,original,0.01091770328666415,109.1770328666415,37173,19369,38338,529,1.662986557749326,40.0,99.99999999999999
6,moving_average,0.009573031379603995,95.73031379603995,32785,19369,38338,361,3.412260575434682,40.0,87.68356428313402
6,b_spline,0.010431617010048716,104.31617010048716,35672,19369,38338,432,3.7610652762982815,40.0,95.54772406015847
6,geodesic,0.010841372137268756,108.41372137268756,36881,19369,38338,547,1.6999467979308729,40.0,99.30084975391637
7,original,0.010462273527953364,104.62273527953364,36555,18695,37042,533,1.165442728037976,40.0,100.00000000000001
7,moving_average,0.009348365598799124,93.48365598799124,33036,18695,37042,352,3.7485019676905673,40.0,89.35309876789138
7,b_spline,0.01001426891274092,100.14268912740921,35094,18695,37042,420,4.645808906897676,40.0,95.71790381874978
7,geodesic,0.010505145113767655,105.05145113767655,36701,18695,37042,561,1.5347783867242206,40.0,100.40977313104791
8,original,0.010442665991886906,104.42665991886906,36958,18952,37488,530,1.171751829981149,40.0,100.0
8,moving_average,0.009230974257698858,92.30974257698858,32809,18952,37488,351,3.103123664997836,40.0,88.39672038606393
8,b_spline,0.010050322893732155,100.50322893732155,35614,18952,37488,442,3.3344873201349494,40.0,96.24288377642674
8,geodesic,0.010399504129663738,103.99504129663738,36827,18952,37488,546,1.4666552557509487,40.0,99.5866777482235
